Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
EMP00043,Marketing,50,128033,3,58,55.2,No
EMP00044,Admin,24,73545,1,35,39.8,No
EMP00045,Engineering,47,149541,16,43,67.6,No
EMP00046,Customer Support,31,80890,1,54,60.2,No
EMP00047,Customer Support,39,97747,23,65,96.4,Yes
EMP00048,Sales,33,103578,7,33,61.4,No
EMP00049,Operations,24,94942,2,33,50.4,No
EMP00050,Admin,53,117240,6,33,44.6,No
EMP00051,Finance,32,101107,20,34,80.4,Yes
EMP00052,Marketing,28,86286,19,32,78.4,Yes
EMP00053,Admin,58,113293,11,46,69.4,No
EMP00054,Sales,36,98030,13,38,72.2,No
EMP00055,Finance,41,122648,1,59,52.2,No
EMP00056,Admin,25,75690,7,62,65.8,No
EMP00057,Finance,43,115938,8,53,63.2,No
EMP00058,Admin,49,113132,23,49,82.8,Yes
EMP00059,Sales,56,116600,22,36,81.2,Yes
EMP00060,Finance,28,93693,24,65,100.0,Yes
EMP00061,Marketing,39,103471,23,51,100.0,Yes
EMP00062,Admin,37,83064,16,46,70.4,No
EMP00063,Sales,48,113529,2,30,37.6,No
EMP00064,IT,37,132477,24,58,100.0,Yes
EMP00065,HR,56,112084,4,34,56.6,No
EMP00066,Operations,23,79452,19,65,98.2,Yes
EMP00067,HR,29,76107,10,53,72.8,No
EMP00068,Marketing,34,102389,22,36,90.2,Yes
EMP00069,IT,47,132201,8,40,63.4,No
EMP00070,IT,22,109891,24,51,92.8,Yes
EMP00071,IT,38,128135,23,36,76.0,Yes
EMP00072,Marketing,51,122657,7,59,69.0,No
EMP00073,Marketing,35,105056,1,42,49.0,No
EMP00074,Finance,38,112106,25,47,100.0,Yes
EMP00075,Customer Support,53,109451,22,64,90.0,Yes
EMP00076,Sales,28,79853,6,46,53.4,No
EMP00077,Customer Support,59,120099,12,50,82.6,Yes
EMP00078,Finance,53,126946,13,42,61.6,No
EMP00079,HR,48,104056,17,64,92.0,Yes
EMP00080,Finance,48,122886,22,51,85.2,Yes
EMP00081,Admin,40,95688,10,56,75.6,Yes
EMP00082,Admin,39,97577,5,42,58.2,No
EMP00083,Sales,32,83413,13,65,83.4,Yes
EMP00084,Marketing,39,112036,14,50,81.2,Yes
EMP00085,Marketing,49,114360,17,60,80.6,Yes
EMP00086,Admin,39,86860,22,51,89.2,Yes
EMP00087,Marketing,40,98800,7,39,49.0,No
EMP00088,Engineering,36,138123,20,34,81.4,Yes
EMP00089,Marketing,57,134599,23,54,97.8,Yes
EMP00090,IT,36,116692,21,30,80.8,Yes
EMP00091,IT,35,127222,23,63,92.2,Yes
EMP00092,Marketing,56,121569,4,59,68.6,No
EMP00093,Admin,54,116302,20,50,97.0,Yes
EMP00094,Customer Support,53,103815,18,58,94.2,Yes
EMP00095,Sales,49,112886,25,45,100.0,Yes
EMP00096,Marketing,52,114938,9,58,72.0,No
EMP00097,Sales,36,105899,11,50,63.8,No
EMP00098,IT,29,109807,8,54,64.8,No
EMP00099,Customer Support,25,82780,14,51,81.8,Yes
EMP00100,HR,47,109162,7,56,76.2,No
EMP00101,Customer Support,22,72926,16,30,67.8,No
EMP00102,Customer Support,45,108767,18,64,89.8,Yes
EMP00103,Marketing,52,128313,9,57,62.4,No
EMP00104,Operations,45,106408,22,55,98.6,Yes
EMP00105,Admin,29,91195,1,55,64.8,No
EMP00106,Finance,22,85846,21,57,98.0,Yes
EMP00107,HR,32,89126,9,54,66.6,No
EMP00108,Operations,50,116117,11,54,77.2,Yes
EMP00109,Finance,37,117075,16,31,60.4,No
EMP00110,Marketing,43,102919,21,34,70.2,No
EMP00111,Marketing,36,101016,1,39,41.2,No
EMP00112,Finance,51,131438,19,43,80.0,Yes
EMP00113,IT,44,128166,20,37,79.2,Yes
EMP00114,HR,27,85397,10,54,68.4,No
EMP00115,Marketing,25,99674,4,49,51.6,No
EMP00116,HR,57,122437,12,64,83.0,Yes
EMP00117,Admin,25,67414,21,51,93.4,Yes
EMP00118,Finance,52,132464,14,53,73.0,No
EMP00119,IT,48,136450,24,63,100.0,Yes
EMP00120,Engineering,55,165414,15,57,81.2,Yes
EMP00121,Marketing,41,113971,3,47,52.6,No
EMP00122,Customer Support,50,111197,11,31,60.4,No
EMP00123,Engineering,32,126865,7,52,65.8,No
EMP00124,Sales,38,107528,18,30,68.4,No
EMP00125,Marketing,26,97209,24,56,100.0,Yes
EMP00126,Engineering,36,137885,21,61,86.4,Yes
EMP00127,Sales,26,84172,8,55,68.4,No
EMP00128,Operations,58,133997,16,65,90.8,Yes
EMP00129,Admin,48,109468,11,52,71.0,No
EMP00130,Sales,40,99310,8,37,58.6,No
EMP00131,Admin,28,76876,25,41,87.6,Yes
EMP00132,Sales,51,125755,24,63,100.0,Yes
EMP00133,Marketing,27,94225,10,44,61.4,No
EMP00134,HR,40,92147,23,64,99.8,Yes
EMP00135,HR,23,71737,18,48,93.2,Yes
EMP00136,Finance,52,132781,1,48,57.6,No
EMP00137,Operations,49,114073,6,33,57.6,No
EMP00138,Finance,28,91027,13,61,90.0,Yes
EMP00139,IT,24,101591,5,49,57.4,No
EMP00140,Admin,28,90467,25,56,100.0,Yes
EMP00141,Marketing,60,134464,25,63,100.0,Yes
EMP00142,Sales,49,113806,19,57,98.4,Yes
EMP00143,HR,60,118808,20,36,89.6,Yes
EMP00144,Sales,34,90946,22,35,79.6,Yes
EMP00145,Admin,32,75487,3,40,54.4,No
EMP00146,Engineering,49,146385,10,32,58.2,No
EMP00147,Engineering,39,135468,3,44,63.8,No
EMP00148,Marketing,58,137444,14,37,66.4,No
EMP00149,Sales,30,82954,5,34,46.4,No
EMP00150,Sales,40,108358,15,37,70.2,No
EMP00151,Sales,46,116380,17,64,95.0,Yes
EMP00152,HR,26,90982,14,50,75.2,Yes
EMP00153,Finance,22,90231,8,31,63.0,No
EMP00154,IT,23,112090,16,63,86.6,Yes
EMP00155,Customer Support,32,76389,21,61,100.0,Yes
EMP00156,Customer Support,43,90027,11,50,66.8,No
EMP00157,Customer Support,42,94844,23,61,100.0,Yes
EMP00158,HR,56,117506,15,35,68.0,No
EMP00159,Finance,41,121062,25,55,90.0,Yes
EMP00160,Engineering,55,152146,14,33,73.0,No
EMP00161,Engineering,44,134491,21,58,90.6,Yes
EMP00162,Admin,38,96956,5,48,64.8,No
EMP00163,HR,28,78789,21,45,85.8,Yes
EMP00164,HR,56,110254,18,56,85.0,Yes
EMP00165,Engineering,28,129930,4,39,51.6,No
EMP00166,Sales,53,124073,14,60,80.2,Yes
EMP00167,Admin,50,103245,5,54,72.4,No
EMP00168,IT,53,147196,3,47,55.6,No
EMP00169,Sales,53,118383,1,48,60.6,No
EMP00170,Engineering,58,167248,5,58,70.8,No
EMP00171,Operations,43,110960,18,64,96.8,Yes
EMP00172,Marketing,41,117936,23,45,92.4,Yes
EMP00173,Customer Support,35,92498,2,50,57.6,No
EMP00174,IT,45,128136,16,32,76.0,Yes
EMP00175,Operations,58,119867,4,58,70.0,No
EMP00176,HR,50,113434,24,39,98.6,Yes
EMP00177,Finance,30,102093,16,46,87.4,Yes
EMP00178,Finance,46,122652,11,64,80.2,Yes
EMP00179,Admin,52,107092,2,34,56.0,No
EMP00180,Marketing,39,111020,24,35,79.2,Yes
EMP00181,Engineering,27,113348,6,49,53.2,No
EMP00182,HR,41,101482,10,52,74.2,No
EMP00183,Marketing,30,104544,17,56,81.2,Yes
EMP00184,IT,31,115091,3,54,64.8,No
EMP00185,IT,58,147922,8,59,75.8,Yes
EMP00186,HR,37,102310,15,48,72.8,No
EMP00187,Engineering,25,123903,12,49,71.0,No
EMP00188,Sales,50,120833,7,54,60.0,No
EMP00189,Customer Support,36,97035,19,52,86.4,Yes
EMP00190,HR,39,95794,22,55,84.6,Yes
EMP00191,HR,57,117778,20,61,91.6,Yes
EMP00192,Operations,59,126012,8,42,55.6,No
EMP00193,HR,27,73493,10,58,82.8,Yes
EMP00194,IT,44,133505,3,48,59.2,No
EMP00195,Marketing,32,100388,5,64,75.4,No
EMP00196,Sales,53,124389,6,46,59.4,No
EMP00197,Finance,42,110012,15,34,66.4,No
EMP00198,Admin,46,105129,12,35,54.6,No
EMP00199,Admin,37,93477,4,59,62.6,No
EMP00200,Customer Support,58,108150,21,53,88.6,Yes
EMP00201,HR,51,111948,20,65,100.0,Yes
EMP00202,Finance,35,106902,21,59,100.0,Yes
EMP00203,Finance,47,112619,5,32,49.2,No
EMP00204,Finance,52,135014,4,45,50.2,No
EMP00205,Engineering,45,147733,12,64,90.0,Yes
EMP00206,Customer Support,30,87034,21,36,90.4,Yes
EMP00207,Sales,47,108519,2,53,61.4,No
EMP00208,Marketing,49,120836,12,36,72.2,No
EMP00209,HR,43,97819,13,47,66.6,No
EMP00210,Finance,50,134567,22,43,77.4,Yes
EMP00211,Operations,24,94300,8,38,55.2,No
EMP00212,Admin,25,74634,7,43,60.4,No
EMP00213,HR,30,80259,9,39,68.6,No
EMP00214,IT,37,118718,4,31,37.8,No
EMP00215,Marketing,43,102117,19,50,81.2,Yes
EMP00216,HR,37,101638,5,56,57.6,No
EMP00217,Engineering,25,126817,15,53,88.8,Yes
EMP00218,Engineering,27,113820,17,44,85.0,Yes
EMP00219,Engineering,40,129993,21,31,83.4,Yes
EMP00220,Customer Support,46,106265,22,36,87.2,Yes
EMP00221,Finance,25,87152,11,39,59.2,No
EMP00222,Admin,38,95081,23,50,100.0,Yes
EMP00223,Sales,54,129638,15,62,89.2,Yes
EMP00224,Finance,27,94445,21,65,100.0,Yes
EMP00225,Marketing,49,123660,14,51,79.8,Yes
EMP00226,Finance,47,121640,11,57,74.0,No
EMP00227,IT,44,124999,22,60,89.6,Yes
EMP00228,Finance,26,98410,14,36,62.8,No
EMP00229,HR,56,125605,19,65,95.2,Yes
EMP00230,Customer Support,28,70285,12,57,76.8,Yes
EMP00231,Sales,59,134737,12,36,71.2,No
EMP00232,IT,34,118148,22,60,90.6,Yes
EMP00233,Admin,43,97728,12,37,73.8,No
EMP00234,Customer Support,35,77860,18,65,100.0,Yes
EMP00235,HR,38,95724,6,47,61.0,No
EMP00236,HR,43,110157,6,39,58.2,No
EMP00237,IT,25,103006,24,31,89.8,Yes
EMP00238,Customer Support,34,86970,14,59,77.6,Yes
EMP00239,Sales,44,116398,24,50,100.0,Yes
EMP00240,HR,26,72830,5,40,47.0,No
EMP00241,Engineering,38,141514,22,57,100.0,Yes
EMP00242,Customer Support,49,110588,9,43,57.0,No
EMP00243,Customer Support,43,106035,4,48,63.0,No
EMP00244,Sales,54,122751,2,44,61.0,No
EMP00245,HR,24,75721,7,49,58.0,No
EMP00246,Sales,37,89653,11,37,69.0,No
EMP00247,IT,48,145051,5,54,60.4,No
EMP00248,Admin,53,102961,22,52,94.8,Yes
EMP00249,Customer Support,23,65151,1,59,59.2,No
EMP00250,Customer Support,57,117086,19,55,88.2,Yes
EMP00251,Customer Support,28,74231,1,50,62.8,No
EMP00252,Operations,50,110468,3,57,58.6,No
EMP00253,Customer Support,48,105568,17,35,72.6,No
EMP00254,Marketing,42,102902,11,40,71.8,No
EMP00255,Admin,28,82048,17,42,78.8,Yes
EMP00256,Marketing,30,94387,4,39,48.6,No
EMP00257,IT,32,114204,25,34,97.4,Yes
EMP00258,Engineering,52,160897,25,58,100.0,Yes
EMP00259,Operations,60,123946,21,50,93.8,Yes
EMP00260,Engineering,25,119000,15,49,86.4,Yes
EMP00261,Operations,24,85971,17,34,77.0,Yes
EMP00262,HR,49,108206,2,53,49.4,No
EMP00263,Admin,26,87216,13,59,87.8,Yes
EMP00264,Engineering,23,118135,19,42,90.4,Yes
EMP00265,Admin,51,112962,5,33,43.8,No
EMP00266,Finance,42,106682,17,41,74.2,No
EMP00267,Engineering,49,158782,17,63,85.4,Yes
EMP00268,Operations,44,113194,10,54,72.4,No
EMP00269,HR,59,112959,21,51,90.4,Yes
EMP00270,Admin,27,78710,22,54,92.0,Yes
EMP00271,IT,59,159895,11,35,56.8,No
EMP00272,Sales,43,100825,21,55,100.0,Yes
EMP00273,Sales,26,86963,18,54,80.8,Yes
EMP00274,Finance,54,136462,21,57,95.0,Yes
EMP00275,Operations,22,80418,10,41,64.6,No
EMP00276,Marketing,52,117477,8,38,51.2,No
EMP00277,Finance,39,119053,17,64,82.0,Yes
EMP00278,IT,42,125454,20,54,85.4,Yes
EMP00279,IT,32,109831,24,58,100.0,Yes
EMP00280,Marketing,44,117510,15,48,74.8,No
EMP00281,Marketing,55,122357,10,60,77.0,Yes
EMP00282,Engineering,57,160913,15,48,83.8,Yes
EMP00283,Customer Support,54,119613,6,42,52.0,No
EMP00284,HR,37,96563,21,60,100.0,Yes
EMP00285,Admin,27,72148,4,48,53.0,No
EMP00286,Engineering,38,139935,17,39,68.0,No
EMP00287,Engineering,35,135595,12,31,53.2,No
EMP00288,Admin,46,104853,12,45,62.6,No
EMP00289,Marketing,44,106046,1,50,63.8,No
EMP00290,IT,42,129800,5,32,55.2,No
EMP00291,Engineering,29,117396,15,30,57.0,No
EMP00292,Marketing,37,114351,5,65,76.0,No
EMP00293,Finance,48,120386,25,48,94.8,Yes
EMP00294,HR,28,88578,8,56,62.0,No
EMP00295,Engineering,28,114138,20,64,100.0,Yes
EMP00296,Marketing,53,123144,23,39,89.8,Yes
EMP00297,Operations,21,78337,8,56,62.0,No
EMP00298,Operations,54,129628,3,63,71.2,No
EMP00299,Admin,53,116005,1,54,47.2,No
EMP00300,Operations,45,112701,9,31,48.8,No
EMP00301,Marketing,43,120667,24,36,86.8,Yes
EMP00302,HR,29,85893,12,64,92.0,Yes
EMP00303,Engineering,32,124372,23,60,93.4,Yes
EMP00304,Engineering,25,116605,2,48,45.4,No
EMP00305,HR,33,96488,11,49,73.2,No
EMP00306,Engineering,55,152262,9,32,56.4,No
EMP00307,HR,43,100552,21,51,83.4,Yes
EMP00308,Customer Support,44,100469,13,58,80.2,Yes
EMP00309,Engineering,32,130437,23,61,100.0,Yes
EMP00310,Finance,38,103186,24,57,100.0,Yes
EMP00311,IT,59,151325,18,48,76.2,Yes
EMP00312,Operations,26,88243,22,48,94.4,Yes
EMP00313,Customer Support,59,117319,6,58,71.6,No
EMP00314,Operations,23,83596,20,57,100.0,Yes
EMP00315,Finance,24,95704,22,55,100.0,Yes
EMP00316,HR,31,78340,5,58,59.8,No
EMP00317,Marketing,25,91866,25,53,100.0,Yes
EMP00318,HR,57,123143,20,39,82.4,Yes
EMP00319,Engineering,44,151606,25,34,81.4,Yes
EMP00320,Operations,54,120932,13,50,72.4,No
EMP00321,HR,28,89952,24,41,95.8,Yes
EMP00322,Admin,45,99529,4,46,60.8,No
EMP00323,Sales,34,92359,23,61,93.0,Yes
EMP00324,Finance,29,104385,15,41,65.6,No
EMP00325,Operations,41,114222,23,34,90.8,Yes
EMP00326,Sales,39,103645,6,41,63.4,No
EMP00327,Finance,35,104757,7,38,62.4,No
EMP00328,Operations,22,88715,18,53,93.2,Yes
EMP00329,Finance,29,102846,3,49,61.8,No
EMP00330,Customer Support,54,118638,25,56,92.6,Yes
EMP00331,Operations,29,96544,21,34,84.2,Yes
EMP00332,Operations,54,131060,5,65,65.0,No
EMP00333,Customer Support,29,73868,17,33,78.4,Yes
EMP00334,Sales,30,91572,6,40,53.8,No
EMP00335,Admin,43,96811,10,35,57.0,No
EMP00336,Sales,56,129681,5,49,52.4,No
EMP00337,IT,53,139209,19,39,88.6,Yes
EMP00338,Operations,59,118729,19,32,67.4,No
EMP00339,Sales,23,91347,21,43,88.6,Yes
EMP00340,HR,60,121491,16,64,99.2,Yes
EMP00341,Engineering,40,137746,8,55,73.4,No
EMP00342,HR,25,83619,6,58,72.6,No
EMP00343,Marketing,50,120242,11,39,65.2,No
EMP00344,Customer Support,43,103474,5,53,69.8,No
EMP00345,Operations,27,83414,8,59,69.8,No
EMP00346,Marketing,49,110458,5,36,51.6,No
EMP00347,Customer Support,45,99729,8,40,68.4,No
EMP00348,Marketing,41,115527,25,40,97.0,Yes
EMP00349,Engineering,50,140759,10,61,68.6,No
EMP00350,Admin,46,99249,15,45,84.0,Yes
EMP00351,HR,43,107816,2,48,63.4,No
EMP00352,Sales,51,109722,18,30,75.4,Yes
EMP00353,Sales,29,93013,24,53,98.0,Yes
EMP00354,Customer Support,23,68978,2,65,65.6,No
EMP00355,Sales,56,128723,3,54,63.8,No
EMP00356,Sales,56,116416,20,37,73.2,No
EMP00357,Operations,46,114180,11,65,74.8,No
EMP00358,Admin,33,77919,13,62,73.6,No
EMP00359,IT,23,113123,23,51,100.0,Yes
EMP00360,IT,50,134580,20,62,95.2,Yes
EMP00361,Operations,60,128805,6,55,73.8,No
EMP00362,Admin,42,103451,17,64,99.0,Yes
EMP00363,Engineering,40,138854,1,53,48.6,No
EMP00364,Sales,47,120959,24,31,88.8,Yes
EMP00365,Marketing,37,113520,24,33,90.0,Yes
EMP00366,Admin,31,79042,21,54,89.2,Yes
EMP00367,Finance,23,97051,7,31,53.2,No
EMP00368,IT,47,139847,14,43,79.0,Yes
EMP00369,Engineering,60,156524,24,33,91.0,Yes
EMP00370,Admin,34,95018,11,60,79.8,Yes
EMP00371,IT,41,130417,15,64,94.4,Yes
EMP00372,Sales,43,102900,20,60,91.0,Yes
EMP00373,Admin,38,92352,10,44,65.4,No
EMP00374,Engineering,34,132229,11,60,84.8,Yes
EMP00375,Sales,38,103041,4,64,69.6,No
EMP00376,IT,43,131025,10,32,51.2,No
EMP00377,Engineering,43,147298,21,46,83.4,Yes
EMP00378,Admin,33,85500,9,65,71.2,No
EMP00379,Marketing,27,99801,8,33,53.2,No
EMP00380,HR,35,92823,4,56,67.8,No
EMP00381,IT,27,107575,1,65,65.8,No
EMP00382,Engineering,51,150612,21,42,85.0,Yes
EMP00383,HR,39,105613,25,35,85.0,Yes
EMP00384,HR,55,111760,6,56,57.4,No
EMP00385,Engineering,46,136427,6,48,51.6,No
EMP00386,Finance,40,117888,11,48,80.6,Yes
EMP00387,Admin,55,119522,16,38,77.6,Yes
EMP00388,Marketing,38,100924,4,51,63.8,No
EMP00389,IT,37,124067,1,51,62.4,No
EMP00390,IT,33,123614,20,55,97.0,Yes
EMP00391,Finance,41,110254,13,36,61.0,No
EMP00392,Operations,51,116745,8,30,56.4,No
EMP00393,Engineering,36,134001,25,47,94.2,Yes
EMP00394,HR,58,117343,9,53,61.0,No
EMP00395,Engineering,28,126884,10,40,70.0,No
EMP00396,Finance,40,115043,21,48,97.6,Yes
EMP00397,Marketing,35,97019,5,60,71.0,No
EMP00398,Operations,59,133228,14,65,93.2,Yes
EMP00399,Marketing,34,108019,22,35,86.6,Yes
EMP00400,Operations,54,113823,3,37,56.6,No
EMP00401,Marketing,53,118510,19,64,89.6,Yes
EMP00402,Admin,41,92930,15,37,79.2,Yes
EMP00403,Finance,52,119223,17,58,91.4,Yes
EMP00404,Admin,29,90278,14,59,73.6,No
EMP00405,Engineering,56,147913,22,49,93.0,Yes
EMP00406,HR,37,103350,24,43,83.0,Yes
EMP00407,Customer Support,23,80332,12,34,55.0,No
EMP00408,Engineering,25,123397,2,48,49.4,No
EMP00409,Customer Support,29,84497,12,54,78.0,Yes
EMP00410,Finance,45,113357,22,64,100.0,Yes
EMP00411,Finance,43,119479,6,64,77.2,No
EMP00412,Marketing,29,94576,1,31,46.4,No
EMP00413,Customer Support,55,108525,18,54,83.8,Yes
EMP00414,Operations,50,113176,5,47,52.2,No
EMP00415,Customer Support,23,70486,20,31,72.6,No
EMP00416,Finance,25,99628,20,32,86.2,Yes
EMP00417,Marketing,24,91981,24,32,88.4,Yes
EMP00418,Admin,35,83591,7,33,60.4,No
EMP00419,Marketing,39,115722,24,50,100.0,Yes
EMP00420,Marketing,41,116280,10,39,60.4,No
EMP00421,Sales,47,119642,9,33,66.0,No
EMP00422,Customer Support,32,74936,18,61,92.0,Yes
EMP00423,Admin,45,104377,11,56,69.4,No
EMP00424,Customer Support,40,98516,6,64,68.2,No
EMP00425,Sales,35,102172,23,39,77.8,Yes
EMP00426,Customer Support,56,119566,14,65,80.2,Yes
EMP00427,Marketing,45,114822,9,43,74.0,No
EMP00428,Engineering,26,128751,12,35,60.6,No
EMP00429,Sales,24,76184,13,32,60.6,No
EMP00430,Admin,58,113444,7,60,70.6,No
EMP00431,HR,40,91844,7,42,64.8,No
EMP00432,Marketing,36,111290,13,45,72.4,No
EMP00433,Customer Support,39,93572,15,64,86.4,Yes
EMP00434,Operations,37,106670,17,61,82.2,Yes
EMP00435,Operations,51,118453,7,53,69.4,No
EMP00436,Marketing,23,78131,24,39,86.6,Yes
EMP00437,Customer Support,56,108628,10,39,63.4,No
EMP00438,Customer Support,35,93361,19,45,90.2,Yes
EMP00439,Sales,42,111475,25,61,100.0,Yes
EMP00440,Operations,31,102109,6,38,60.6,No
EMP00441,Admin,32,92568,21,33,70.6,No
EMP00442,HR,25,83513,25,30,79.0,Yes
EMP00443,Finance,35,97299,23,39,82.8,Yes
EMP00444,Engineering,53,159433,12,33,68.4,No
EMP00445,HR,22,79878,18,65,83.4,Yes
EMP00446,Admin,22,80955,24,47,92.4,Yes
EMP00447,Admin,22,69274,23,57,90.6,Yes
EMP00448,Admin,27,75689,5,45,67.0,No
EMP00449,Sales,54,122805,12,47,63.8,No
EMP00450,Customer Support,44,95200,15,45,75.0,Yes
EMP00451,HR,26,83627,3,55,62.4,No
EMP00452,Engineering,56,152815,2,30,35.6,No
EMP00453,Customer Support,52,115941,21,51,83.4,Yes
EMP00454,HR,54,123372,8,43,67.2,No
EMP00455,HR,38,103394,3,47,63.6,No
EMP00456,IT,23,104388,11,31,68.4,No
EMP00457,Customer Support,30,76323,3,49,64.8,No
EMP00458,Customer Support,36,89070,22,64,100.0,Yes
EMP00459,Finance,29,91559,17,52,76.8,Yes
EMP00460,Marketing,48,127430,3,51,67.0,No
EMP00461,Customer Support,59,106770,25,50,100.0,Yes
EMP00462,Engineering,38,137259,16,44,84.2,Yes
EMP00463,Customer Support,45,91808,6,54,74.2,No
EMP00464,Marketing,39,99488,23,34,81.8,Yes
EMP00465,Customer Support,30,83767,23,39,86.8,Yes
EMP00466,Finance,44,117901,3,30,49.4,No
EMP00467,Sales,44,100660,4,38,47.0,No
EMP00468,Engineering,48,154391,18,65,96.4,Yes
EMP00469,HR,27,90560,3,52,50.6,No
EMP00470,Operations,59,127363,13,30,66.4,No
EMP00471,Finance,45,116954,24,65,100.0,Yes
EMP00472,IT,54,140354,22,54,88.0,Yes
EMP00473,Sales,38,95381,9,61,66.8,No
EMP00474,Customer Support,31,82022,9,56,76.8,Yes
EMP00475,Operations,25,93246,9,45,74.2,No
EMP00476,Marketing,60,126439,15,36,69.6,No
EMP00477,Customer Support,21,70998,11,54,78.2,Yes
EMP00478,Customer Support,42,95244,21,38,82.6,Yes
EMP00479,Marketing,59,126620,16,50,82.8,Yes
EMP00480,Sales,41,113070,24,61,98.8,Yes
EMP00481,Customer Support,41,96160,9,55,64.2,No
EMP00482,Marketing,57,124295,19,64,100.0,Yes
EMP00483,Engineering,22,120767,23,43,88.2,Yes
EMP00484,Customer Support,25,69560,22,61,100.0,Yes
EMP00485,Marketing,40,111865,9,39,63.6,No
EMP00486,Engineering,25,129078,20,60,96.0,Yes
EMP00487,Admin,55,120814,23,56,88.0,Yes
EMP00488,Admin,44,93383,20,35,76.0,Yes
EMP00489,IT,43,140055,21,32,89.0,Yes
EMP00490,Operations,46,102545,14,36,61.8,No
EMP00491,Marketing,37,112684,17,63,98.4,Yes
EMP00492,Marketing,57,131216,15,53,84.8,Yes
EMP00493,Admin,58,107404,5,52,67.2,No
EMP00494,Sales,27,81203,14,35,62.2,No
EMP00495,Sales,43,103378,11,59,83.2,Yes
EMP00496,Operations,51,122557,16,36,76.4,Yes
EMP00497,Finance,41,107971,10,32,49.2,No
EMP00498,Finance,42,113392,22,40,91.6,Yes
EMP00499,Admin,32,93745,6,51,66.4,No
EMP00500,Marketing,50,116107,13,41,80.0,Yes
EMP00501,Customer Support,48,107331,1,42,57.0,No
EMP00502,Customer Support,48,99343,1,43,47.6,No
EMP00503,Finance,25,96986,18,41,79.0,Yes
EMP00504,Engineering,33,135639,4,46,62.8,No
EMP00505,Customer Support,41,103434,20,55,84.0,Yes
EMP00506,Operations,43,108346,15,41,82.6,Yes
EMP00507,Finance,58,134862,22,38,77.4,Yes
EMP00508,Sales,36,100432,4,41,47.8,No
EMP00509,Customer Support,53,117435,14,38,72.0,No
EMP00510,IT,48,133276,16,64,96.2,Yes
EMP00511,Engineering,31,123330,10,38,62.8,No
EMP00512,HR,49,114679,12,30,55.6,No
EMP00513,Customer Support,33,90819,18,62,94.6,Yes
EMP00514,Customer Support,52,113413,23,58,93.2,Yes
EMP00515,HR,26,80771,25,44,84.4,Yes
EMP00516,Marketing,38,101111,18,48,87.2,Yes
EMP00517,Engineering,57,152109,18,62,99.6,Yes
EMP00518,Sales,28,90621,25,64,100.0,Yes
EMP00519,Engineering,23,121531,18,43,73.2,No
EMP00520,Sales,36,96811,2,58,61.4,No
EMP00521,Engineering,26,118077,4,45,64.2,No
EMP00522,Customer Support,43,93370,6,38,51.6,No
EMP00523,Operations,24,95357,18,47,89.6,Yes
EMP00524,Operations,31,93680,23,48,100.0,Yes
EMP00525,Admin,38,87042,22,36,86.2,Yes
EMP00526,Sales,24,78148,21,38,79.6,Yes
EMP00527,Operations,30,99038,8,55,63.4,No
EMP00528,Sales,57,125693,21,56,97.4,Yes
